sessionId,speakerId
cmffpi0ht007o3z7gw08n9nzv,cmffpi06u00003z7g8ls46f8q
cmffpi0i6007r3z7g9z90uu2q,cmffpi07500033z7gwropzmkk
cmffpi0i6007r3z7g9z90uu2q,cmffpi07900043z7gtsiz3ghj
cmffpi0ie007t3z7gnrqv9zlg,cmffpi07d00053z7gwjaj6hbq
cmffpi0ie007t3z7gnrqv9zlg,cmffpi07i00063z7gcz91ggiw
cmffpi0j6007v3z7gxc2xr9mc,cmffpi07k00073z7gw5zt24mh
cmffpi0ja007w3z7gf9c9c9fb,cmffpi07k00083z7g6oj6nyoe
cmffpi0jn007x3z7g67xey4k1,cmffpi07l00093z7gw3xyt697
cmffpi0k8007y3z7ggxynrb3i,cmffpi07m000b3z7gnatrdxvz
cmffpi0kd007z3z7ggxoizum0,cmffpi07n000c3z7gog92o7lq
cmffpi0kj00803z7g8shosgw4,cmffpi07o000e3z7gqo9rkz6p
cmffpi0kj00803z7g8shosgw4,cmffpi07p000f3z7gwld47e97
cmffpi0ko00813z7g2f8wifzw,cmffpi07q000g3z7gman7d82k
cmffpi0ko00813z7g2f8wifzw,cmffpi07q000h3z7g0uuumm0a
cmffpi0kr00823z7goae2fo2m,cmffpi07r000i3z7gki4oq3lb
cmffpi0kt00833z7ghl0fvfb6,cmffpi07r000j3z7gnhk3breu
cmffpi0kz00853z7gp03d3otg,cmffpi07r000k3z7gya16i086
cmffpi0ln008c3z7g938m8393,cmffpi07u000m3z7gl5duk8al
cmffpi0lw008d3z7gxti9g69h,cmffpi07u000n3z7g0tko7brr
cmffpi0m8008e3z7g8o0m6e79,cmffpi07v000o3z7ge30tclwn
cmffpi0md008f3z7gy640ilht,cmffpi07v000p3z7gp3me3suu
cmffpi0mr008g3z7g2e4o7c83,cmffpi07w000q3z7gjer42er4
cmffpi0n4008i3z7gzvckzanp,cmffpi07w000r3z7gyt05y66t
cmffpi0n4008i3z7gzvckzanp,cmffpi07x000s3z7g5duzz4pu
cmffpi0p4008v3z7g3gzesuhl,cmffpi07z000v3z7gkr8j4i7d
cmffpi0pj008x3z7gkmqix8iy,cmffpi080000x3z7gtg2gagy7
cmffpi0r100933z7gl8sgetmn,cmffpi081000y3z7geynvy6hh
cmffpi0rj00963z7gtkcn4hbz,cmffpi08400103z7gun1oqf5a
cmffpi0rx00983z7gpjqboeka,cmffpi08600113z7g4pfoejal
cmffpi0sb009a3z7gxfrw3gi8,cmffpi08800123z7gz9x5du71
cmffpi0sb009a3z7gxfrw3gi8,cmffpi08800133z7gyztbw1d7
cmffpi0su009d3z7g6j6dfjgw,cmffpi08f00153z7g6lpwhc7p
cmffpi0t0009e3z7gdqgyutp7,cmffpi08h00163z7ge0ae06ai
cmffpi0tb009g3z7g1brqgggq,cmffpi08j00173z7gklg66g8j
cmffpi0tg009h3z7gm60k19rr,cmffpi08k00183z7g8lqt422k
cmffpi0tk009i3z7gzm093lfw,cmffpi08r001a3z7gj4eivgso
cmffpi0tm009j3z7gesi9y2mm,cmffpi090001b3z7g9hltbtk3
cmffpi0tr009m3z7gw627c5h6,cmffpi09c001c3z7gofsyfc86
cmffpi0u0009p3z7gsxhaiunu,cmffpi09e001d3z7gi4rc8u9m
cmffpi0uc009s3z7gyw8a1o53,cmffpi09e001e3z7gf53j1fz5
cmffpi0ur009y3z7gnvoxmsq2,cmffpi09i001h3z7gcpy9r1sx
cmffpi0vb009z3z7gdqlj723r,cmffpi09m001i3z7gw5ss1ue3
cmffpi0vh00a03z7g4fz10ta7,cmffpi09o001j3z7g4dyf17ji
cmffpi0vl00a13z7gk2jstlgh,cmffpi09t001k3z7go9lrn532
cmffpi0w600a53z7gsn5b6z4y,cmffpi09w001l3z7g6nx5vflo
cmffpi0wa00a73z7g9m53lyxz,cmffpi09x001m3z7go5gi16xt
cmffpi0wi00aa3z7gk0fhyd8q,cmffpi0a3001o3z7g0jhi9nzs
cmffpi0ww00ab3z7g5fo27q2o,cmffpi0a6001p3z7gw2tebgd9
cmffpi0x400ac3z7g0z45jfe5,cmffpi0ab001r3z7g2h671y8b
cmffpi0xe00ae3z7gc1h46bmv,cmffpi0ae001t3z7gq1dngnnj
cmffpi0xj00af3z7gufcjf77i,cmffpi0ae001u3z7glzpxnbpo
cmffpi0xq00ag3z7g66y596z9,cmffpi0ag001v3z7guybo9pmr
cmffpi0xw00ai3z7gapd9lsak,cmffpi0al001x3z7gc1td7364
cmffpi0y500aj3z7gxzex6ecz,cmffpi0ao001y3z7gold32cqr
cmffpi0y800ak3z7gegcoz6ok,cmffpi0aq001z3z7gdlb0uf2x
cmffpi0yw00ar3z7gje4xb8rx,cmffpi0ar00203z7gse09rnl8
cmffpi0yz00as3z7g9llkpei3,cmffpi0at00213z7g62ro06qj
cmffpi0yz00as3z7g9llkpei3,cmffpi0av00223z7gtiaob10t
cmffpi0za00au3z7gtm6wdepx,cmffpi0aw00233z7g7629e4p1
cmffpi0zp00aw3z7gaxv4353v,cmffpi0b200263z7g3t4k3fbg
cmffpi0zu00ax3z7g60jp0rpy,cmffpi0b300273z7gzspvk8x4
cmffpi0zu00ax3z7g60jp0rpy,cmffpi0b400283z7ggnjbmr29
cmffpi10700b03z7gcntzlqsb,cmffpi0b6002b3z7g0gxm0ukh
cmffpi10700b03z7gcntzlqsb,cmffpi0b7002c3z7g0xwmn9zg
cmffpi10k00b13z7gzx6ldyps,cmffpi0b9002e3z7g7i6js4le
cmffpi10k00b13z7gzx6ldyps,cmffpi0b9002f3z7gxd95sgu0
cmffpi10p00b23z7gm60dc04h,cmffpi090001b3z7g9hltbtk3
cmffpi10u00b43z7gmpijs9n1,cmffpi0ba002h3z7grrioed20
cmffpi10u00b43z7gmpijs9n1,cmffpi0bb002i3z7gi8cjvhvc
cmffpi10y00b53z7g3lxoz8i9,cmffpi0bc002j3z7gblho995h
cmffpi11000b63z7gnd2wfjte,cmffpi0bc002k3z7giuq1th1p
cmffpi11100b73z7gcx59xvqz,cmffpi0bd002l3z7gzop9luig
cmffpi11100b73z7gcx59xvqz,cmffpi0bd002m3z7gfnaw9r3p
cmffpi11500b83z7gde3ajens,cmffpi0ar00203z7gse09rnl8
cmffpi11c00b93z7gvn6rr8i5,cmffpi0bf002n3z7gldwbeq70
cmffpi11h00ba3z7ggkbifstt,cmffpi0bh002o3z7gi8wt1bl8
cmffpi11l00bb3z7gfhjfevvf,cmffpi0bi002p3z7g1chwyrf7
cmffpi11o00bc3z7gbbw827wj,cmffpi0bl002q3z7gtk000xtr
cmffpi11o00bc3z7gbbw827wj,cmffpi0bn002r3z7gzxj11eu4
cmffpi11r00bd3z7gvktg1n7d,cmffpi0bo002s3z7g9eamvpe0
cmffpi11u00be3z7gzok133j6,cmffpi0bp002t3z7gaecsyx0v
cmffpi11u00be3z7gzok133j6,cmffpi0br002u3z7gmf8r59k7
cmffpi11z00bh3z7gkx7yno45,cmffpi0bu002w3z7gffzya0fl
cmffpi12400bi3z7giulx07rx,cmffpi0by002y3z7gd7jlc5yu
cmffpi12400bi3z7giulx07rx,cmffpi0bz002z3z7g3q00d4d3
cmffpi12e00bj3z7g6lb7anm8,cmffpi0c100303z7gzp9235sb
cmffpi12h00bl3z7gb8mpwbj5,cmffpi0c200313z7gxfm62poi
cmffpi12h00bl3z7gb8mpwbj5,cmffpi0c200323z7ga246sgrc
cmffpi12k00bm3z7g6bezifg7,cmffpi0c300333z7gpwsdl3d2
cmffpi12m00bn3z7g0ic9j4bc,cmffpi0c300343z7g1bfqrzhd
cmffpi12m00bn3z7g0ic9j4bc,cmffpi0c400353z7g4enu7k0s
cmffpi12o00bo3z7gt6hyh634,cmffpi0c400363z7gx1s7dxnl
cmffpi12o00bo3z7gt6hyh634,cmffpi0c600373z7gnr4dj4c7
cmffpi12r00bp3z7g36evtbzb,cmffpi0ar00203z7gse09rnl8
cmffpi12s00bq3z7gf05g0y15,cmffpi0c700383z7gj2ugp3hr
cmffpi12t00br3z7gat68mev7,cmffpi0c8003a3z7g8ojpjgav
cmffpi12z00bu3z7gvbg56kmt,cmffpi0cb003e3z7g6hf6zpj2
cmffpi12z00bu3z7gvbg56kmt,cmffpi0cd003f3z7g5yu6l88p
cmffpi13b00bv3z7g83qm9adx,cmffpi0ch003h3z7gux9hu05g
cmffpi13b00bv3z7g83qm9adx,cmffpi0ck003i3z7gs1n706bm
cmffpi13d00bw3z7gcxg806fi,cmffpi0cm003j3z7gf71oqb1c
cmffpi13d00bw3z7gcxg806fi,cmffpi0cn003k3z7gu0n2s5w8
cmffpi13i00by3z7gu9yswkhr,cmffpi0cp003m3z7g77dkov4i
cmffpi13m00c03z7g8gcihze6,cmffpi0cu003q3z7gx178x6pd
cmffpi13o00c13z7gtvynjglc,cmffpi0cw003r3z7g7dev5efv
cmffpi13o00c13z7gtvynjglc,cmffpi0cx003s3z7gftaqoyad
cmffpi13q00c23z7g6a5x2cl7,cmffpi0d2003t3z7g6vn5m8pu
cmffpi13s00c33z7gu47ni56u,cmffpi0d5003u3z7ggm5bctmf
cmffpi13s00c33z7gu47ni56u,cmffpi0d6003v3z7ge4bau4ka
cmffpi13v00c53z7ghqhdqo9e,cmffpi09o001j3z7g4dyf17ji
cmffpi13x00c63z7g01ccv42w,cmffpi0db003y3z7g0twocr0q
cmffpi14100c73z7g1s250pca,cmffpi0de003z3z7g43lwhbnt
cmffpi14700c83z7gngtmbnab,cmffpi07o000e3z7gqo9rkz6p
cmffpi14700c83z7gngtmbnab,cmffpi0dh00403z7gocwaopoy
cmffpi14b00ca3z7gu3u4oqmb,cmffpi0dn00433z7go52yr5p0
cmffpi14b00ca3z7gu3u4oqmb,cmffpi0ds00443z7gjf9e6lnh
cmffpi14i00cb3z7g2858vq5n,cmffpi0du00463z7gfw8pdkrf
cmffpi14i00cb3z7g2858vq5n,cmffpi0dw00473z7gx6hl8kt8
cmffpi14k00cc3z7gl231lvrz,cmffpi0dy00483z7gcjrd29z2
cmffpi14m00cd3z7gc9pq7yn7,cmffpi0dy00493z7g13p8oo67
cmffpi14r00cg3z7gliumt8r2,cmffpi0e0004b3z7g5bm5caks
cmffpi14y00cj3z7gkrqiceie,cmffpi0e1004d3z7gz1usf50x
cmffpi15100ck3z7gq6k2tjvy,cmffpi0e1004e3z7gv3p8n49k
cmffpi15400cl3z7g3zpu9t4c,cmffpi0e3004f3z7grbbu5rcl
cmffpi15600cn3z7gvbww9r4b,cmffpi0ab001r3z7g2h671y8b
cmffpi15600cn3z7gvbww9r4b,cmffpi0e5004h3z7gzt1plwok
cmffpi15b00co3z7gj2f97z16,cmffpi0e5004i3z7gn5z3uc0d
cmffpi15b00co3z7gj2f97z16,cmffpi0e6004j3z7g3iauqy3t
cmffpi15e00cq3z7gxcwhl4lt,cmffpi0ea004l3z7gtonlofb0
cmffpi15f00cr3z7gio7gexs4,cmffpi0ed004m3z7gpmuu4mzo
cmffpi15g00cs3z7gaeoii6by,cmffpi0ee004n3z7ggwco1yiz
cmffpi15k00cv3z7gs9t713l7,cmffpi0cu003q3z7gx178x6pd
cmffpi15m00cw3z7g0g9smi7e,cmffpi0ei004q3z7gk4oq9us6
cmffpi15m00cw3z7g0g9smi7e,cmffpi0ej004r3z7gb8d9dwjd
cmffpi15o00cx3z7gxh10x4tk,cmffpi0ek004s3z7gc18tqmnq
cmffpi15u00cz3z7gkm7ab3hp,cmffpi0el004t3z7g98rgurz4
cmffpi16100d13z7gprp70z1l,cmffpi0eo004v3z7glml7nk7u
cmffpi16100d13z7gprp70z1l,cmffpi0eq004w3z7g4vot3aty
cmffpi16700d23z7gyn2m7c92,cmffpi0er004x3z7gbar0r01q
cmffpi16e00d53z7g9hcqbvjg,cmffpi0et004y3z7gkwtpf54u
cmffpi16j00d83z7giuznj8xx,cmffpi0ar00203z7gse09rnl8
cmffpi16l00d93z7gejgidnw5,cmffpi0eu004z3z7gms9z3m7u
cmffpi17600df3z7gkffcqtwy,cmffpi0ew00513z7gqn7uyfpb
cmffpi17600df3z7gkffcqtwy,cmffpi0ew00523z7gzplaw22d
cmffpi17a00di3z7g8yp1pncl,cmffpi0ey00553z7gnohptgie
cmffpi17d00dl3z7g8c8ks6ys,cmffpi0ez00573z7g7emchwq8
cmffpi17g00do3z7g8j0xj1mk,cmffpi0f3005c3z7glj2ko0xz
cmffpi17j00dr3z7g16vr3obm,cmffpi0f4005d3z7giir31bio
cmffpi17l00ds3z7gzznip9do,cmffpi0f9005g3z7gnvtfe1aw
cmffpi17q00dt3z7grw2g38g2,cmffpi0ar00203z7gse09rnl8
cmffpi17x00dv3z7g06ewzk4e,cmffpi0fc005j3z7gxsxv20fl
cmffpi18000dw3z7g5lb0vyhk,cmffpi0fd005k3z7gwkn4rhj3
cmffpi18200dx3z7g8p3jgp8m,cmffpi0ff005l3z7g37g076e8
cmffpi18400dy3z7gl8xveybm,cmffpi0fg005m3z7ghin4n1ne
cmffpi18400dy3z7gl8xveybm,cmffpi0fh005n3z7gdhw2gcop
cmffpi18500dz3z7ge9v4jdb2,cmffpi0fh005o3z7g72o0yc34
cmffpi18500dz3z7ge9v4jdb2,cmffpi0fi005p3z7g66gpo0y2
cmffpi18b00e23z7gbtu11r4u,cmffpi0fj005s3z7ge7se2kq1
cmffpi18b00e23z7gbtu11r4u,cmffpi0fl005t3z7gdglzlb80
cmffpi18d00e33z7gbg0isgpb,cmffpi0fn005u3z7gc6t7g6xs
cmffpi18e00e43z7glsxf8x3s,cmffpi0fo005v3z7glrdlsdt5
cmffpi18g00e63z7gjs7u4hs2,cmffpi0fq005y3z7ghj1ck7bw
cmffpi18h00e73z7gyqpkjghd,cmffpi0fr00603z7gf549smnc
cmffpi18o00e93z7gyvteg7uu,cmffpi0fr00613z7gz9d3wfp7
cmffpi18s00ea3z7go21dfabj,cmffpi0ar00203z7gse09rnl8
cmffpi18t00eb3z7g7a5tio63,cmffpi0fs00633z7gia6wsorh
cmffpi18x00ee3z7gx1rodsop,cmffpi0fu00663z7gqlxegblv
cmffpi18x00ee3z7gx1rodsop,cmffpi0fv00673z7gzhyfa57n
cmffpi18z00ef3z7gtigzaayl,cmffpi0fw00683z7gtqwvay9n
cmffpi18z00ef3z7gtigzaayl,cmffpi0fw00693z7gxmvio3qb
cmffpi19f00em3z7goqoyvtg9,cmffpi0fy006c3z7gnh2ypl5j
cmffpi19n00en3z7gudh6bw3v,cmffpi0fz006e3z7gnsixjtii
cmffpi19q00ep3z7gbp8gnhnc,cmffpi0g2006h3z7gw2v4hu37
cmffpi19q00ep3z7gbp8gnhnc,cmffpi0g3006i3z7gn46wkydx
cmffpi19s00eq3z7gfejgr7ax,cmffpi0g4006j3z7gu5xr9226
cmffpi19s00eq3z7gfejgr7ax,cmffpi0g7006k3z7gmrqpgcpp
cmffpi19w00er3z7gfsftcbkx,cmffpi0g9006l3z7gm8wh9bs7
cmffpi19w00er3z7gfsftcbkx,cmffpi0ga006m3z7g4cva23qi
cmffpi19y00es3z7gp0ievgyz,cmffpi0gc006n3z7g8d9ezwtj
cmffpi1a100et3z7g3jou459w,cmffpi0gd006o3z7gd9i4kzag
cmffpi1a300ev3z7grqb6lmuc,cmffpi0gf006q3z7g2y0zicdz
cmffpi1aa00ez3z7g98v966qb,cmffpi0go006t3z7gy5kog0v5
cmffpi1ac00f03z7gxdcl432k,cmffpi0gq006u3z7gxanayumj
cmffpi1ac00f03z7gxdcl432k,cmffpi0gr006v3z7gm5256qjc
cmffpi1aj00f13z7gdo44moip,cmffpi0gs006w3z7gm561l9j2
cmffpi1aj00f13z7gdo44moip,cmffpi0gs006x3z7gn4sms4dl
cmffpi1am00f23z7gh3nd1ick,cmffpi0gt006z3z7gr7j9snfk
cmffpi1ao00f33z7g4wub8pjv,cmffpi0ar00203z7gse09rnl8
cmffpi1as00f63z7gpogn0x23,cmffpi0gv00723z7g1mwxcxq6
cmffpi1as00f63z7gpogn0x23,cmffpi0gw00733z7gqp5x2c4v
cmffpi1aw00f93z7gmqlm4wec,cmffpi0gx00753z7g0k8aiqh3
cmffpi1az00fb3z7g73rp2jwl,cmffpi0gy00763z7g7qtgcwhg
