Time,Event,Speaker(s),Location,Other Details
8:00am - 9:00am,WIISE Workshop: Registration Opens,,Mandalay Bay Ballroom IWIISE Workshop,
9:00am - 9:20am,WIISE Workshop: Welcome and Registration,,Mandalay Bay Ballroom IWIISE Workshop,
9:20am - 10:00am,WIISE Workshop: The Mirror of Integrity: Lifting Ourselves by Reflecting the Best in Others,,Mandalay Bay Ballroom IWIISE Workshop,
10:00am - 11:00am,WIISE Workshop: The Power of Unleashing Creativity (Keynote),,Mandalay Bay Ballroom IWIISE Workshop,
11:00am - 11:45am,WIISE Workshop: Menafactor Moment,,Mandalay Bay Ballroom IWIISE Workshop,
11:30am - 1:00pm,ITC Vegas Golf Tournament Registration & Check-In,,Bali Hai Golf ClubGolf Tournament,
11:45am - 1:00pm,WIISE Workshop: Lunch,,Mandalay Bay Ballroom IWIISE Workshop,
1:00pm - 5:30pm,ITC Vegas Golf Tournament,,Bali Hai Golf ClubGolf Tournament,AI Recommended
1:00pm - 1:45pm,WIISE Workshop: The Magic of Marketing,,Mandalay Bay Ballroom IWIISE Workshop,
1:45pm - 2:00pm,WIISE Workshop: Warrior Moment,,Mandalay Bay Ballroom IWIISE Workshop,
2:00pm - 2:45pm,WIISE Workshop: Wings Not Weights: How Lifting Others Lightens the Load,,Mandalay Bay Ballroom IWIISE Workshop,
2:45pm - 3:15pm,WIISE Workshop: Ice Breaker,,Mandalay Bay Ballroom IWIISE Workshop,
3:15pm - 4:00pm,WIISE Workshop: Magician Networking Activity,,Mandalay Bay Ballroom IWIISE Workshop,AI Recommended
4:00pm - 4:15pm,WIISE Workshop: Wrap Up,,Mandalay Bay Ballroom IWIISE Workshop,
5:30pm - 7:00pm,ITC Vegas Golf Tournament Happy Hour,,,Tiki Sports Bar at Bali HaiGolf Tournament | AI Recommended
7:00am - 7:00pm,Badge Pickup Hours,,Mandalay Bay Foyer | Level 2Event Information,AI Recommended
7:00am - 8:30am,Breakfast Sponsored by Jackson,,Shoreline | Level 2Event Information,Session Sponsor | Jackson
8:00am - 9:00am,"Breakfast, Bold Ideas, and the Future of Insurance Sponsored by MetLife Xcelerator",Speaker | Javier CabelloSVP - MetLife Xcelerator | MetLife Xcelerator,Mandalay Bay Ballroom FITC LATAM,Session Sponsor
8:30am - 12:00pm,Masterclass: Monetization Strategies for Growth In Partnership with Simon-Kucher,,Oceanside Ballroom BMasterclass Series,
8:45am - 10:00am,Mastering Monetization: Why It Matters and Strategies That Drive Growth,Speaker,Oceanside Ballroom BSimon-Kucher Masterclass,"Michael NadelPartner and Head of North American Insurance Practice - Simon-Kucher & Partners | Sara YamasePartner and Managing Partner of Technology, Media & Telecom - Simon-Kucher & Partners"
9:00am - 1:00pm,Clearspeed Trust Faster Summit (Carriers Only),Speaker | Scott MooreCRO - Clearspeed | Manjit RanaEVP - Clearspeed,Mandalay Bay Ballroom KKickoff Summit DayShow more,Session Sponsor | Clearspeed
9:00am - 5:00pm,ITC Agents & Brokers Expo Floor Open,,Mandalay Bay Ballroom GEvent Information,
9:00am - 9:10am,ITC LATAM Opening Remarks,Speaker | Leonardo RedolfiDirector - 100% Seguro | Hernan FernandezDirector - 100% SEGURO,Mandalay Bay Ballroom FITC LATAM,
9:10am - 9:30am,ITC LATAM Opening Keynote: State of the Insurtech Union,Speaker,Mandalay Bay Ballroom FITC LATAM,Hugues BertinCEO and President - Digital Insurance LATAM and AIP
9:30am - 9:40am,ITC Agents Opening Remarks,"Speaker | Ryan HanleySerial Founder, Speaker, Entrepreneur, Influencer, and Founder - Finding Peak",Mandalay Bay Ballroom EAgents Track,
9:30am - 9:45am,State of the Insurtech Union: From the Investors' Point of View,Speaker | Alex HorvitzCEO - HCS Capital,Mandalay Bay Ballroom FITC LATAM,
9:40am - 10:00am,Escape the Rabbit Hole: Finding Your Way in the Wonderland of Agency AI,"Speaker | Dale SteinkeDirector, Agent for the Future Advisors - Liberty Mutual | Liberty Mutual / Safeco...",Mandalay Bay Ballroom EAgents Track,Session Sponsor
9:40am - 10:00am,State of the Union of Insurance Broking in America,Speaker | Drew AldrichFounder & Managing Partner - Viewpoint Ventures,Mandalay Bay Ballroom H - Brokers TrackBrokers Track,
9:45am - 10:00am,Are Social Impact Alliances a New Solution to Reduce the Insurance Gap in Latin America?,Speaker | Carlos Cendra FalconScouting & Investment Lead - MAPFRE | MAPFRE S.A,Mandalay Bay Ballroom FITC LATAM,Session Sponsor
10:00am - 10:45am,Cracking the Code: What Insurtech Buyers Really Want,"Speaker | Colleen ThomasVP, Business Relationship Management & Innovation - CNA Insurance | Dorothy KellyVP, Innovation - Verisk",Oceanside Ballroom BSimon-Kucher MasterclassShow more,AI Recommended
10:00am - 10:30am,How I Built This: The Bowhead Specialty Story and What’s Next,"Speaker | Garrett KoehnChief Innovation Officer and President, ProExec - CRC Insurance Services | Stephen SillsCEO - Bowhead Specialty",Mandalay Bay Ballroom H - Brokers TrackBrokers Track,
10:00am - 10:30am,The No-Cold-Call Millionaire: How I Wrote $2M in Revenue Without Dialing Once,Speaker | Madison BakerVice President of Business Insurance - Marsh McLennan Agency,Mandalay Bay Ballroom EAgents Track,
10:30am - 10:50am,"Inside the Distribution Shake-Up: How Brokers, MGAs, MGUs & Hybrid Fronting Carriers Can Win the Next Era Presented by Novidea",Speaker | Jeffrey HeineChief Revenue Officer - Novidea,Mandalay Bay Ballroom H - Brokers TrackBrokers Track,Session Sponsor | Novidea
10:30am - 11:15am,ITC Agents Coffee and Expo,,Mandalay Bay Ballroom EAgents Track,
10:30am - 10:45am,"Mic Drop: Why I Made the Move From Carrier to Insurtech, and Where I See Potential in Argentina",Speaker | Mauricio ZanattaCEO - Klimber (former CEO of Prudential),Mandalay Bay Ballroom FITC LATAM,
11:00am - 12:00pm,A New Era for Underwriting: AI as a Competitive Advantage,,Mandalay Bay Ballroom IPegasystems Kickoff Summit,Session Sponsor | Pega
11:00am - 2:00pm,Clearspeed Gives Back,,Mandalay Bay Foyer | Level 2Event Information,AI Recommended
11:00am - 11:45am,Group Breakout Sessions,,Oceanside Ballroom BSimon-Kucher Masterclass,
11:00am - 11:55am,How AI Is Reshaping How Insurance Operates,Tata Consultancy Services,Mandalay Bay Ballroom DTata Consultancy Services Kickoff Summit,Session Sponsor
11:00am - 4:30pm,Pegasystems Kickoff Summit: Insurance Reimagined: The AI Advantage,,Mandalay Bay Ballroom IKickoff Summit Day,Session Sponsor | Pega
11:00am - 3:00pm,Tata Consultancy Services Kickoff Summit: Leading the Intelligence Revolution in Insurance,,Mandalay Bay Ballroom DKickoff Summit Day,
11:15am - 11:30am,"Smart Agents, Smarter Back Offices: How AI Turns Agents Into Experts… and Other Game-Changing Hacks to Turn Your Workforce Into Heroes",Speaker | Chris ParadisoIndependent Insurance Agent - Paradiso Financial and Insurance Services,Mandalay Bay Ballroom EAgents Track,
11:20am - 11:35am,"We Don’t Need Another App: Why Insurance Needs Infrastructure, Not Interfaces",Speaker | Sergio ZunigaCEO - Blitz,Mandalay Bay Ballroom FITC LATAM,
11:30am - 11:45am,"What Happens to the Agency in the Age of AI? Disruption, Opportunity, and What Every Agent Needs to Know for the Road Ahead",Speaker | Ali SafaviCEO & Co-Founder - COVU,Mandalay Bay Ballroom EAgents Track,
11:40am - 12:00pm,From Talk to Triumph: Why Now Is the Moment for Brokers to Prioritize Tech Adoption (And How to Do It) Presented by IntellectAI,Speaker | Sandeep HaridasEVP and Insurance Business Head - IntellectAI,Mandalay Bay Ballroom H - Brokers TrackBrokers Track,Session Sponsor | IntellectAI
11:40am - 11:55am,Transforming Health Insurance Using Insights From Behavioral Economics – A Detailed Before-And-After Case Study From Ecuador,Speaker | Natalia JacomeCountry Head - SaludSA,Mandalay Bay Ballroom FITC LATAM,"Lindsey PassaicVP Growth, Americas - Vitality | AI Recommended"
11:45am - 12:00pm,Closing Remarks,,Oceanside Ballroom BSimon-Kucher Masterclass,
11:45am - 12:15pm,"Consolidation, Technology, and Resilience: How This Carrier Sees Efficiency Gains for Independent Agents and Why They’re Doubling Down on Them","Speaker | Ori Ben-YishaiPartner - Viewpoint Ventures | Robert PolisenoDivision President, N.A. Small & Lower Midmarket - Chubb",Mandalay Bay Ballroom EAgents Track,
12:00pm - 6:00pm,"Datos Insights Kickoff Summit: The Insurance AI Reality Check - Successes, Failures and What’s Next (Carriers Only)",Datos Insights,Lagoon Ballroom KLKickoff Summit Day,Session Sponsor
12:00pm - 12:40pm,From AI Pilots to AI-First Insurers: Designing for What Comes Next,Tata Consultancy Services,Mandalay Bay Ballroom DTata Consultancy Services Kickoff Summit,Session Sponsor
12:00pm - 1:30pm,Lunch Sponsored by isolved,,Shoreline | Level 2Event Information,Session Sponsor | isolved
12:00pm - 4:00pm,Viewpoint Ventures Kickoff Summit: Corporate Development / Innovation / Strategy Summit,Viewpoint Ventures,Mandalay Bay Ballroom BCKickoff Summit Day,Session Sponsor
12:15pm - 1:45pm,ITC Agents & Brokers Lunch & Expo,,Mandalay Bay Ballroom EAgents Track,
12:45pm - 1:15pm,"The Future Athlete Project With Des Linden, Boston Marathon Champion and Two-Time Olympian",Tata Consultancy Services,Mandalay Bay Ballroom DTata Consultancy Services Kickoff Summit,Session Sponsor
12:45pm - 1:10pm,Viewpoint Ventures Opening Remarks and State of Insurtech,Viewpoint Ventures,Mandalay Bay Ballroom BCViewpoint Ventures Kickoff Summit,Session Sponsor
1:00pm - 5:00pm,AWS/Ensono/Verisk Kickoff Summit: Overcoming Life Insurance Modernization Challenges,,Lagoon Ballroom CDIJKickoff Summit Day,Session Sponsor | Ensono
1:00pm - 1:10pm,Celent Kickoff Summit Opening Remarks,,Surf Ballroom EFCelent Kickoff Summit,Session Sponsor | Celent
1:00pm - 5:00pm,"Celent Kickoff Summit: Disrupt, Decode, Deliver - The Future Hits Fast",,Surf Ballroom EFKickoff Summit Day,Session Sponsor | Celent
1:00pm - 5:00pm,Cognizant Kickoff Summit: Cognizant Experience | Creating Exponential Advantage While Engineering Empathy,,Mandalay Bay Ballroom LKickoff Summit Day,Session Sponsor | Cognizant
1:00pm - 5:00pm,EXL Kickoff Summit: AI in the Workflow - Opportunities & Risks for Insurance Carriers,,Reef Ballroom BCEFKickoff Summit Day,Session Sponsor | EXL
1:00pm - 2:15pm,First Timers Orientation Sponsored by Yelp,Speaker | Jonathan CarrCEO and Founder - ePlacement | Yelp Inc.,Oceanside Ballroom BEvent Information,Amy CooperCEO & Founder - RISE Professionals | Session Sponsor
1:00pm - 1:20pm,Opening Remarks,,Reef Ballroom BCEFEXL Kickoff Summit,Session Sponsor | EXL
1:00pm - 1:20pm,Progressing the AI Insurance Use Case,Speaker | Craig WeberHead of Insurance Strategy - Cognizant,Mandalay Bay Ballroom LCognizant Kickoff Summit,Session Sponsor | Cognizant
1:00pm - 5:00pm,Sureify Kickoff Summit and Life & Annuity Networking Mixer,,Breakers Ballroom CDKickoff Summit Day,Session Sponsor | Sureify
1:10pm - 1:40pm,"Insurtech’s First Decade: Lessons, Misses & What’s Next",Viewpoint Ventures,Mandalay Bay Ballroom BCViewpoint Ventures Kickoff Summit,Session Sponsor
1:10pm - 1:40pm,InsurTechs in 2025 – Rethinking the Playbook,,Surf Ballroom EFCelent Kickoff Summit,Session Sponsor | Celent
1:20pm - 1:35pm,Embedded Insurance: Powering B2B2C Growth in Latin America’s Next Frontier,Speaker,Mandalay Bay Ballroom FITC LATAM,Stefano de LiguoroCEO - Insurama
1:20pm - 1:55pm,Emerging Technology Demos,Tata Consultancy Services,Mandalay Bay Ballroom DTata Consultancy Services Kickoff Summit,Session Sponsor
1:20pm - 1:40pm,Engineering for Growth,"Speaker | Mykola HayvanovychGlobal Head, Generative AI - Cognizant",Mandalay Bay Ballroom LCognizant Kickoff Summit,Session Sponsor | Cognizant
1:20pm - 1:50pm,Exclusive CXO Roundtable: Navigating Risks and Opportunities to GenAI and Agentic AI Adoption in Insurance,,Reef Ballroom BCEFEXL Kickoff Summit,Session Sponsor | EXL
1:30pm - 2:30pm,Agentic Operations: A New Model for Insurance,,Mandalay Bay Ballroom IPegasystems Kickoff Summit,Session Sponsor | Pega
1:35pm - 2:05pm,Talk with the Regulator: How Brazil’s Bold Approach to Insurance Enables Innovation,Speaker | Carlos QueirozDirector - SUSEP | Júlia Normande LinsDirector - SUSEP,Mandalay Bay Ballroom FITC LATAMShow more,
1:40pm - 2:10pm,AI in Production: From Use‑Cases to Live Workflows,Viewpoint Ventures,Mandalay Bay Ballroom BCViewpoint Ventures Kickoff Summit,Session Sponsor
1:40pm - 2:00pm,Engineering for Empathy,Speaker | Stephanie WanHead of Experience Strategy - Cognizant,Mandalay Bay Ballroom LCognizant Kickoff Summit,Session Sponsor | Cognizant
1:45pm - 2:15pm,Creating Loyal Customers: Insights on the Claims and Payments Experience,,Surf Ballroom EFCelent Kickoff Summit,Session Sponsor | Celent
1:45pm - 2:00pm,"The 32-Hour Workweek. Do Less, Make More",Speaker | Manny BarbosaAgent for the Future Advisor - Liberty Mutual Insurance | Michael CruzFounder and Principal Owner - Foresight Insurance | Liberty Mutual / Safeco...,Mandalay Bay Ballroom EAgents Track,Session Sponsor
1:50pm - 2:05pm,"Fail Fast, Fail Forward. Notes on an Ambitious Launch That Didn’t Go to Plan","Speaker | Garrett DroegeSVP, Head of Innovation - IMA Financial Group, Inc.",Mandalay Bay Ballroom H - Brokers TrackBrokers Track,
2:00pm - 2:45pm,From FNOL to Resolution: Transforming Claims with Generative and Agentic AI,,Reef Ballroom BCEFEXL Kickoff Summit,Session Sponsor | EXL
2:00pm - 2:20pm,Next Generation Commercial & Specialty Insurance,"Speaker | Tim QueenGlobal Head, Insurance Consulting - Cognizant",Mandalay Bay Ballroom LCognizant Kickoff Summit,Session Sponsor | Cognizant
2:00pm - 2:15pm,Zero Experience? Zero Connections? Zero Problem: How We Went From Broke Agents to Program Managers and the Repeatable System We Used That Still Works,Speaker | Aaron Farmer,Mandalay Bay Ballroom EAgents Track,
2:10pm - 3:00pm,Multiples in Motion: Decoding How Analysts Value Carriers Today,Viewpoint Ventures,Mandalay Bay Ballroom BCViewpoint Ventures Kickoff Summit,Session Sponsor
2:10pm - 2:25pm,Scalable Pricing in LATAM: Lessons from the Field Presented by Akur8,Speaker | Pedro PereiraRegional Sales Director - Akur8,Mandalay Bay Ballroom FITC LATAM,Session Sponsor | Akur8
2:15pm - 2:30pm,"Reimagine Your Revenue: How to Transform Your Revenue Operations by Leveraging AI and Automation (For Brokers, Carriers, and MGAs) Presented by eventual treasury",Speaker | Mohit ChawlaCEO - eventual treasury | Eventual Treasury,Mandalay Bay Ballroom H - Brokers TrackBrokers Track,Session Sponsor
2:20pm - 3:00pm,Exponential Advantage in the Age of Uncertainty,"Speaker | Brad VanMiddlesworthVP, Data & Application Management - CNO Financial Group",Mandalay Bay Ballroom LCognizant Kickoff Summit,Bharat RajaramHead of Innovation and Ventures - Aflac | Session Sponsor | Cognizant
2:20pm - 2:40pm,Get Future Ready: Structuring the Modern Insurance Agency with AI2030 Playbook,Speaker | Jason CassCEO - Agency Intelligence,Mandalay Bay Ballroom EAgents Track,
2:20pm - 2:50pm,The Future of CAT Management: Tools for a Volatile World,,Surf Ballroom EFCelent Kickoff Summit,Session Sponsor | Celent
2:25pm - 2:40pm,"How a Traditional Latin American Carrier Achieves Transformation Through Collaboration – A Carrier Playbook for Innovation, Partnership, and Growth",Speaker,Mandalay Bay Ballroom FITC LATAM,"Martin MoserProgram Manager, InnLab - La Segunda"
2:30pm - 2:45pm,"Delivering RelationGPT to 1,400 Brokers: Bridging the AI Readiness Gap and Turning Skeptics into Superusers",Speaker | Kevin RabinowitzCOO - Relation Insurance Services,Mandalay Bay Ballroom H - Brokers TrackBrokers Track,
2:40pm - 3:25pm,ITC Agents Coffee and Expo,,Mandalay Bay Ballroom EAgents Track,
2:40pm - 3:00pm,Session Presented by Guidewire,,Mandalay Bay Ballroom FITC LATAM,Session Sponsor | Guidewire
2:45pm - 3:00pm,"How The Zebra Achieves Personalization at Scale: Tech, Trust, and the Talent Behind It","Speaker | Katie GoldVP, Insurance Sales - The Zebra",Mandalay Bay Ballroom H - Brokers TrackBrokers Track,
3:00pm - 3:20pm,AI Launchpad: Data Transformation for Insurance speed and ROI,,Reef Ballroom BCEFEXL Kickoff Summit,Session Sponsor | EXL
3:00pm - 3:30pm,Insurance Ai-gent: the Future of Distribution,Viewpoint Ventures,Mandalay Bay Ballroom BCViewpoint Ventures Kickoff Summit,Session Sponsor
3:00pm - 3:10pm,Standup: Utility-Based Closed Block Life Insurance for the Experience Era,Speaker | Sudipta ChakiGlobal Head of Insurance Industry Solutions - Cognizant,Mandalay Bay Ballroom LCognizant Kickoff Summit,Session Sponsor | Cognizant
3:00pm - 5:00pm,State Farm Startup Pitch Competition,State Farm,Oceanside Ballroom BKickoff Summit Day,Session Sponsor
3:00pm - 3:05pm,State Farm Startup Pitch Competition: Opening Remarks Presented by State Farm,,Oceanside Ballroom BState Farm Startup Pitch Competition,
3:00pm - 3:30pm,"Underwriting Modernization – New Tech, New Rules",,Surf Ballroom EFCelent Kickoff Summit,Session Sponsor | Celent
3:05pm - 3:15pm,State Farm Startup Pitch Competition: Adjusto,Speaker | Michael BalarezoCEO - Adjusto,Oceanside Ballroom BState Farm Startup Pitch Competition,
3:10pm - 3:30pm,Changing the Game: A Dive Into Insurance Progressive Use Cases,Speaker,Mandalay Bay Ballroom LCognizant Kickoff Summit,"Rajamuthiah NellaiappanHead, Insurance Partner Ecosystem and Offerings Marketplace - Cognizant | Session Sponsor | Cognizant"
3:15pm - 3:30pm,AI Agents Are Here: Why They Will Completely Change the Insurance Industry,Speaker | Igor MascarenhasCEO & Co-Founder - Pier,Mandalay Bay Ballroom FITC LATAM,
3:15pm - 3:25pm,State Farm Startup Pitch Competition: Chestnut,Speaker | David ZhangCEO - Chestnut,Oceanside Ballroom BState Farm Startup Pitch Competition,
3:25pm - 3:35pm,State Farm Startup Pitch Competition: Elysian,Speaker | Grace HansonCEO - Elysian,Oceanside Ballroom BState Farm Startup Pitch Competition,
3:25pm - 3:40pm,The Perfect Sale: Maximizing Your Agency Value and Trends in Consolidation and Acquisitions,Speaker | Harrison BrooksPartner - Reagan Consulting,Mandalay Bay Ballroom EAgents Track,
3:30pm - 4:30pm,Blueprint for Change: How Insurers Are Winning the Legacy Transformation Battle Using GenAI,,Mandalay Bay Ballroom IPegasystems Kickoff Summit,Session Sponsor | Pega
3:30pm - 4:00pm,Powering the Shift: Industry Learnings on GenAI Success in Insurance,,Reef Ballroom BCEFEXL Kickoff Summit,Session Sponsor | EXL
3:30pm - 5:00pm,Solution Showcase & Networking,,Mandalay Bay Ballroom LCognizant Kickoff Summit,Session Sponsor | Cognizant
3:30pm - 4:10pm,"The Agenda of Latin American Insurance Companies – Innovation, Channels, and New Opportunities",Speaker | Sofia BelmarCEO - Prudential Mexico,Mandalay Bay Ballroom FITC LATAMShow more,Francisco ValenzuelaCEO LatAm - BNPP Cardif
3:35pm - 4:05pm,"Commissions, Compensation, and Change – What Agents Are Saying in 2025",,Surf Ballroom EFCelent Kickoff Summit,Session Sponsor | Celent
3:35pm - 3:45pm,State Farm Startup Pitch Competition: MarvelX AI,Speaker | Ali el HassouniCEO - MarvelX,Oceanside Ballroom BState Farm Startup Pitch Competition,
3:40pm - 4:10pm,So You Sold Your Agency... Now What?,Speaker | Drew MonroeCEO - Evertree Insurance,Mandalay Bay Ballroom EAgents TrackShow more,Samantha TradeliusVice President - Lytespeed Learning
3:45pm - 5:00pm,BrokerTech Connect,,Mandalay Bay Ballroom H - Brokers TrackBrokers Track,
3:45pm - 3:55pm,State Farm Startup Pitch Competition: Multimodal,Speaker | Ankur PatelCEO & Founder - Multimodal,Oceanside Ballroom BState Farm Startup Pitch Competition,
4:00pm - 4:10pm,State Farm Startup Pitch Competition: Reinsurance Analytics,Speaker | Stella DongFounder & CTO - Reinsurance Analytics,Oceanside Ballroom BState Farm Startup Pitch Competition,
4:10pm - 4:40pm,Exploring the Future of Insurance with Disney+: An Embedded Opportunity Presented by Kovr,Moderator | Eduardo ViegasCOO - Kovr Seguradora | KOVR SEGURADORA SA,Mandalay Bay Ballroom FITC LATAM,Session Sponsor
4:10pm - 5:00pm,GenAI at Work: What the Agentic Leap Means for Insurers,,Surf Ballroom EFCelent Kickoff Summit,Session Sponsor | Celent
